Date,DL_length,player_id,dt_date
20050823,15,bradm001,2005-08-23
20050823,15,dresr001,2005-08-23
20050823,15,cabrd001,2005-08-23
20050824,15,grimj001,2005-08-24
20050825,15,bradm001,2005-08-25
20050825,15,churr001,2005-08-25
20050825,15,murpd004,2005-08-25
20050825,60,,2005-08-25
20050825,60,stems001,2005-08-25
20050826,15,ramia001,2005-08-26
20050826,15,hernr003,2005-08-26
20050827,15,sheeb001,2005-08-27
20050827,60,,2005-08-27
20050827,15,dukez001,2005-08-27
20050828,15,iztuc001,2005-08-28
20050828,15,sosas001,2005-08-28
20050828,15,lidlc001,2005-08-28
20050828,60,thomj002,2005-08-28
20050828,15,duffc001,2005-08-28
20050829,15,riedj001,2005-08-29
20050829,15,astap001,2005-08-29
20050829,60,dennk001,2005-08-29
20050830,60,peree002,2005-08-30
20050830,15,woodk002,2005-08-30
20050830,15,bloow001,2005-08-30
20050830,15,colbg001,2005-08-30
20050830,15,credj001,2005-08-30
20050830,60,pavac001,2005-08-30
20050831,15,crosb002,2005-08-31
20050901,60,mcphd001,2005-09-01
20050901,60,durae001,2005-09-01
20050901,60,camem001,2005-09-01
20050901,60,whitr001,2005-09-01
20050901,60,,2005-09-01
20050902,60,bradm001,2005-09-02
20050902,60,hairs001,2005-09-02
20050903,60,campj002,2005-09-03
20050905,60,snelc001,2005-09-05
20050905,60,dresr001,2005-09-05
20050905,60,parrj003,2005-09-05
20050906,60,gagne001,2005-09-06
20050906,60,wunsk001,2005-09-06
20050906,60,spivj001,2005-09-06
20050906,15,,2005-09-06
20050906,15,abboj001,2005-09-06
20050909,60,gil-j001,2005-09-09
20050910,60,keppj001,2005-09-10
20050912,60,woodk002,2005-09-12
20050912,60,riedj001,2005-09-12
20050912,60,regin001,2005-09-12
20050913,60,,2005-09-13
20050915,60,higgb001,2005-09-15
20050916,60,duffc001,2005-09-16
20050917,60,,2005-09-17
20050920,60,sheeb001,2005-09-20
20050921,60,day-z001,2005-09-21
20050929,60,millw001,2005-09-29
20050930,60,bloow001,2005-09-30
20060302,60,,2006-03-02
20060323,60,padij001,2006-03-23
20060325,15,bagwj001,2006-03-25
20060327,15,lawrb001,2006-03-27
20060327,15,guzmc001,2006-03-27
20060327,15,ayall001,2006-03-27
20060327,15,fickr001,2006-03-27
20060327,15,dresr001,2006-03-27
20060327,15,hernr003,2006-03-27
20060328,15,woodk002,2006-03-28
20060328,15,priom001,2006-03-28
20060328,15,matsk001,2006-03-28
20060328,60,rakea001,2006-03-28
20060328,60,,2006-03-28
20060328,60,madrb001,2006-03-28
20060329,15,iztuc001,2006-03-29
20060329,60,lawrb001,2006-03-29
20060329,60,ayall001,2006-03-29
20060329,15,bookc001,2006-03-29
20060329,15,gassd001,2006-03-29
20060330,15,sheeb001,2006-03-30
20060330,60,snelc001,2006-03-30
20060330,60,bullb001,2006-03-30
20060330,15,dohms001,2006-03-30
20060331,15,burna001,2006-03-31
20060331,15,zaung001,2006-03-31
20060331,15,fostj001,2006-03-31
20060331,15,johnk003,2006-03-31
20060331,15,mcbrm001,2006-03-31
20060331,15,,2006-03-31
20060331,15,bigbl001,2006-03-31
20060331,15,ankir001,2006-03-31
20060331,15,millw001,2006-03-31
20060331,15,baldr001,2006-03-31
20060331,15,burrs001,2006-03-31
20060331,60,,2006-03-31
20060331,15,meddb001,2006-03-31
20060331,15,benia001,2006-03-31
20060331,15,astap001,2006-03-31
20060331,15,parrj003,2006-03-31
20060331,15,willt001,2006-03-31
20060331,15,brocd001,2006-03-31
20060331,15,camem001,2006-03-31
20060331,15,klesr001,2006-03-31
20060331,15,wilsc004,2006-03-31
20060331,15,rupej001,2006-03-31
20060331,15,mcdom001,2006-03-31
20060331,15,welld001,2006-03-31
20060331,15,choih001,2006-03-31
20060331,60,balfg001,2006-03-31
20060331,15,laruj001,2006-03-31
20060331,15,wilsp001,2006-03-31
20060331,15,piedj001,2006-03-31
20060331,15,redmm002,2006-03-31
20060331,15,macdm001,2006-03-31
20060331,60,greiz001,2006-03-31
20060331,15,dingc001,2006-03-31
20060331,60,perct001,2006-03-31
20060331,15,hermd001,2006-03-31
20060331,15,smala001,2006-03-31
20060331,15,pavac001,2006-03-31
20060331,15,doteo001,2006-03-31
20060401,15,wertj001,2006-04-01
20060401,15,,2006-04-01
20060401,15,belto001,2006-04-01
20060401,15,kim-b001,2006-04-01
20060401,15,torry001,2006-04-01
20060402,15,lawtm002,2006-04-02
20060402,15,shear001,2006-04-02
20060402,15,jonet003,2006-04-02
20060403,15,loftk001,2006-04-03
20060403,15,vanbj001,2006-04-03
20060403,15,,2006-04-03
20060404,15,garcn001,2006-04-04
20060404,15,,2006-04-04
20060405,15,ordal001,2006-04-05
20060406,15,ramih002,2006-04-06
20060406,15,lugoj001,2006-04-06
20060406,60,ordal001,2006-04-06
20060406,15,gagne001,2006-04-06
20060407,60,wertj001,2006-04-07
20060407,15,lowrn001,2006-04-07
20060407,15,estes001,2006-04-07
20060409,15,jonec004,2006-04-09
20060410,15,hendm001,2006-04-10
20060411,60,,2006-04-11
20060411,15,,2006-04-11
20060411,15,dejem001,2006-04-11
20060412,15,huffa001,2006-04-12
20060412,15,mulht001,2006-04-12
20060412,15,kinsi001,2006-04-12
20060412,15,riskd001,2006-04-12
20060412,15,cornn001,2006-04-12
20060414,15,backb001,2006-04-14
20060414,15,witaj001,2006-04-14
20060414,15,brazy001,2006-04-14
20060414,15,cabrf002,2006-04-14
20060414,15,dresr001,2006-04-14
20060414,60,,2006-04-14
20060414,15,doumr001,2006-04-14
20060414,15,cases001,2006-04-14
20060414,15,welld001,2006-04-14
20060414,15,yound001,2006-04-14
20060415,15,,2006-04-15
20060416,15,hellr001,2006-04-16
20060416,15,bautd002,2006-04-16
20060417,15,pagaa001,2006-04-17
20060417,15,,2006-04-17
20060417,15,hermj001,2006-04-17
20060417,15,stems001,2006-04-17
20060418,15,newhd001,2006-04-18
20060418,15,kim-s001,2006-04-18
20060419,15,colob001,2006-04-19
20060419,15,betar001,2006-04-19
20060419,15,herna003,2006-04-19
20060419,60,newhd001,2006-04-19
20060419,15,matol001,2006-04-19
20060419,60,byrdt001,2006-04-19
20060419,60,,2006-04-19
20060419,15,derom001,2006-04-19
20060420,15,millt002,2006-04-20
20060420,15,,2006-04-20
20060421,15,lee-d002,2006-04-21
20060421,60,millw001,2006-04-21
20060421,60,rupej001,2006-04-21
20060421,15,dejed001,2006-04-21
20060421,60,macdm001,2006-04-21
20060421,60,dingc001,2006-04-21
20060422,15,,2006-04-22
20060422,15,burna001,2006-04-22
20060422,15,shoub001,2006-04-22
20060422,15,heltt001,2006-04-22
20060423,15,milte001,2006-04-23
20060424,15,iztum001,2006-04-24
20060424,15,wilsb001,2006-04-24
20060426,15,cantj001,2006-04-26
20060426,15,santj001,2006-04-26
